subId,P(roi),P(dom),P(roi|dominant),P(dom|roi),P(dom|child inhand),P(dom|parent inhand),P(roi|dom&child inhand),P(roi|dom&parent inhand),P(roi|dom&not inhand),P(dom&not inhand),P(dom&child inhand|roi),P(dom&parent inhand|roi),P(dom&not inhand|roi),P(dom&both inhand|roi),,,,L+M+N-O,,P(dom|roi)
1201,0.758469725,0.482589075,0.601116539,0.382470473,0.382807469,0.224005808,0.855060275,0.764494058,0.09980139,0.1356503,0.270846284,0.188526774,0.017849214,0.094751798,,,,0.382470473,,0.382470473
1202,0.726304903,0.661455165,0.440540789,0.401206131,0.498929336,0.21398875,0.588278822,0.613714286,0.14835628,0.216510524,0.332942457,0.044978641,0.044224809,0.020939777,,,,0.401206131,,0.401206131
1203,0.712753477,0.402006986,0.492759619,0.280037621,0.181175238,0.266954616,0.739759036,0.598889157,0.04916986,0.087481146,0.120307234,0.1943726,0.006034956,0.040677169,,,,0.280037621,,0.280037621
1204,0.484874187,0.363302234,0.291828794,0.218658892,0.118010027,0.274893617,0.47875817,0.325077399,0.187901008,0.154226746,0.085422741,0.091836735,0.059766764,0.018367347,,,,0.218658892,,0.218658892
1205,0.777603542,0.61507241,0.450059988,0.35599051,0.214333378,0.279122201,0.615193026,0.687129779,0.269176337,0.325892445,0.117200474,0.151364176,0.112811388,0.025385528,,,,0.35599051,,0.35599051
1206,0.868447866,0.524057512,0.623028732,0.375961413,0.219154229,0.324959836,0.913734393,0.826067416,0.123762376,0.160081513,0.209881371,0.239603702,0.022813193,0.096336853,,,,0.375961413,,0.375961413
1207,0.72294046,0.662357238,0.585207877,0.5361668,0.503052503,0.126920675,0.667128988,0.816929134,0.108337759,0.109165749,0.46287089,0.066559743,0.016359262,0.010986367,,,,0.534803528,,0.5361668
1208,0.756734469,0.555318857,0.439054572,0.32219397,0.252290189,0.221973684,0.695168375,0.701244813,0.150948509,0.253573392,0.215583,0.10742826,0.050581184,0.053123865,,,,0.32046858,,0.32219397
1209,0.790318119,0.644260028,0.641691713,0.523101155,0.203328509,0.388054023,0.787900356,0.644607843,0.513613861,0.22351314,0.193734687,0.230136507,0.145257263,0.051452573,,,,0.517675884,,0.523101155
1210,0.808351457,0.359460635,0.486205227,0.21620749,0.180557026,0.085767327,0.765982405,0.776334776,0.148226575,0.164332318,0.140551012,0.057899268,0.030133448,0.012376238,,,,0.21620749,,0.21620749
1211,0.793933682,0.497001114,0.239462115,0.299805741,0.307992747,0.321331846,0.743206522,0.722359941,0.040428641,0.175906092,0.177099072,0.157241528,0.008957479,0.043492338,,,,0.299805741,,0.299805741
1212,0.831408521,0.628999282,0.528156022,0.399574638,0.350631229,0.279029887,0.853704756,0.836259877,0.103220479,0.267668674,0.299415127,0.126611724,0.033231424,0.060946431,,,,0.398311844,,0.399574638
1213,0.617902472,0.415879378,0.398921524,0.268494208,0.151329341,0.158392666,0.578664134,0.729679803,0.172930542,0.20059166,0.141158301,0.091505792,0.056138996,0.02030888,,,,0.268494208,,0.268494208
1214,0.788776422,0.607174754,0.320421672,0.246650311,0.29656843,0.114943976,0.536346311,0.803943045,0.074752475,0.300684728,0.185884129,0.069258351,0.028495943,0.036988111,,,,0.246650311,,0.246650311
1215,0.700891266,0.501723113,0.367124586,0.262800949,0.168597348,0.10571211,0.758278146,0.373198847,0.196761134,0.29352347,0.155306884,0.043913191,0.082400814,0.018819939,,,,0.262800949,,0.262800949
1216,0.833168887,0.50172669,0.729269092,0.439159183,0.373156733,0.207404103,0.887837198,0.969892473,0.286238532,0.134435126,0.370275338,0.044508043,0.04618573,0.021809928,,,,0.439159183,,0.439159183
1217,0.551571078,0.499707978,0.409654044,0.371135112,0.220697903,0.326424227,0.522473701,0.588593156,0.144529943,0.174570728,0.173549343,0.163913596,0.045743329,0.012071156,,,,0.371135112,,0.371135112
1218,0.789843186,0.590184371,0.479266259,0.358115966,0.254459559,0.273198548,0.512483995,0.74789916,0.147522936,0.178794042,0.132995514,0.229190895,0.033394252,0.037464695,,,,0.358115966,,0.358115966
1219,0.807374016,0.646437462,0.417880933,0.334583333,0.292424744,0.097043858,0.891968326,0.905118602,0.087111111,0.37845657,0.262833333,0.060416667,0.040833333,0.0295,,,,0.334583333,,0.334583333
1220,0.694914323,0.399412346,0.137779306,0.158381412,0.092486368,0.134615385,0.598774885,0.74057844,0.117845118,0.277295694,0.061803525,0.066782581,0.047024421,0.017229116,,,,0.158381412,,0.158381412
1221,0.614097005,0.422204296,0.38213518,0.26272578,0.234702431,0.233806147,0.601785714,0.414560162,0.163228155,0.166179288,0.166009852,0.067323481,0.044170772,0.014778325,,,,0.26272578,,0.26272578
1222,0.941554129,0.504317025,0.570676032,0.305666588,0.434856176,0.240947817,0.741422002,0.539226519,0.218587361,0.148882001,0.246414296,0.057371267,0.034563837,0.032682812,,,,0.305666588,,0.305666588
1223,0.833868645,0.514730313,0.594405594,0.366914597,0.239432012,0.31578504,0.658923203,0.808749,0.257843926,0.137667516,0.160114225,0.201354762,0.042568734,0.037123124,,,,0.366914597,,0.366914597
1224,0.596015495,0.560251799,0.370416101,0.348189415,0.198552847,0.336276983,0.619956616,0.758232597,0.072545188,0.283204206,0.165854225,0.211118849,0.034470752,0.06325441,,,,0.348189415,,0.348189415
1225,0.855033013,0.689273717,0.594403832,0.4791709,0.414676813,0.429594272,0.918160726,0.801515152,0.074288592,0.229989575,0.294858769,0.214996952,0.019982388,0.050667209,,,,0.4791709,,0.4791709
1226,0.830128732,0.657628047,0.396917951,0.314438432,0.294511163,0.146850647,0.760536398,0.711295034,0.159012132,0.379293344,0.183383925,0.096410189,0.072654085,0.038009766,,,,0.314438432,,0.314438432
1227,0.864455862,0.367958898,0.476009139,0.202615085,0.050557698,0.235348982,0.61443299,0.856010568,0.180351906,0.191125642,0.032202291,0.140047547,0.039874649,0.009509401,,,,0.202615085,,0.202615085
1228,0.647299718,0.571154338,0.42482635,0.37485172,0.314139581,0.248855597,0.680672269,0.787625418,0.153983885,0.285897108,0.256227758,0.09311981,0.068011072,0.04250692,,,,0.37485172,,0.37485172
1230,0.781279343,0.521713615,0.246344207,0.164500864,0.153078556,0.100166389,0.486130374,0.630398671,0.135815822,0.379812207,0.052655299,0.057011943,0.066025689,0.011192068,,,,0.164500864,,0.164500864
1231,0.724847952,0.528907452,0.413965087,0.302062273,0.246045549,0.119957311,0.774823292,0.846975089,0.086688137,0.273027039,0.232713304,0.096239385,0.032652649,0.059543065,,,,0.302062273,,0.302062273
1232,0.597995116,0.580516643,0.349789683,0.339565871,0.150195497,0.147257701,0.713644524,0.577806122,0.131747829,0.340444673,0.170857511,0.097356544,0.075005373,0.003653557,,,,0.339565871,,0.339565871
1233,0.728043478,0.402065217,0.408218437,0.22544043,0.100105058,0.22639485,0.754122939,0.653436019,0.146355353,0.190869565,0.075097044,0.164676023,0.038369663,0.052702299,,,,0.22544043,,0.22544043
1234,0.812958552,0.591043354,0.390778655,0.284106892,0.116440378,0.369107908,0.790874525,0.780474934,0.139973788,0.363506432,0.073136428,0.173347398,0.062587904,0.024964838,,,,0.284106892,,0.284106892
1235,0.743440233,0.42607247,0.325839036,0.186741363,0.153800998,0.185604237,0.521946565,0.718547341,0.060626249,0.208385395,0.102147526,0.103454715,0.016993464,0.035854342,,,,0.186741363,,0.186741363
1236,0.736532427,0.395135983,0.248841827,0.133499024,0.066375399,0.235862877,0.539240506,0.525465839,0.089615182,0.248038703,0.037812888,0.075093201,0.030179301,0.009586366,,,,0.133499024,,0.133499024
1237,0.840146367,0.511866179,0.569444444,0.346938776,0.157865169,0.321461355,0.822064057,0.837235865,0.227866473,0.216100366,0.143728223,0.182429069,0.058611249,0.037829766,,,,0.346938776,,0.346938776
1238,0.53757304,0.339040631,0.320641283,0.202224469,0.164835165,0.04581757,0.634567901,0.770642202,0.123234917,0.211713548,0.129929221,0.042467139,0.048533873,0.018705763,,,,0.202224469,,0.202224469
1239,0.498229939,0.401382333,0.410331793,0.330570123,0.239517519,0.050709939,0.632494005,0.64,0.289335089,0.25606878,0.178480799,0.010827271,0.148705803,0.007443749,,,,0.330570123,,0.330570123
,,,,,,,,,,,,,,,,,,,,
,,,0.436142475,0.313708366,0.236622903,0.221435336,0.690960537,0.706058119,0.154782496,0.229541038,0.179244324,0.118702482,0.049005223,0.033500944,,,,,,
